pickup_latitude,pickup_longitude
40.67402501,-74.05332476
40.74527016,-74.03768959
40.66425812,-73.95675209
40.74449803,-73.97423931
40.75616428,-74.04777848
40.71210421,-74.03149238
40.75015782,-73.98165169
40.75969735,-73.95739772
40.6809908,-74.01401183
40.72235973,-74.02600133
40.70912766,-74.03866461
40.69096538,-74.05113626
40.68844584,-74.01748625
40.70150963,-73.97712258
40.69016818,-74.05505688
40.75786004,-74.02161825
40.72140415,-74.04564364
40.69726094,-74.04757354
40.74815993,-73.95625408
40.68511213,-73.97875746
40.72967656,-73.99337898
40.72915836,-74.0220708
40.73835243,-73.96843144
40.7289508,-73.9963019
40.66296536,-74.00990957
40.74542838,-73.97660992
40.75056906,-73.97461454
40.70437744,-73.96788651
40.73979812,-74.04123215
40.66654096,-73.99531523
40.74788708,-74.05029563
40.70895998,-74.03921458
40.66366332,-74.04064039
40.67260017,-74.02755647
40.75575693,-73.96397253
40.6916481,-73.96723619
40.76061026,-74.02327363
40.70705405,-73.98200543
40.73641605,-73.98597676
40.69033458,-74.04370057
40.7178909,-74.0459565
40.66566179,-74.03643344
40.761248,-74.04787386
40.74695488,-74.01750115
40.69076696,-74.04093101
40.68480187,-74.01736727
40.76221977,-73.99903316
40.67851676,-73.97077988
40.69502069,-74.0445923
40.72133858,-74.00838806
40.683741,-73.98408008
40.7442656,-74.00123788
40.72697302,-73.96400366
40.69518445,-74.02899194
40.66975615,-74.03591303
40.68244083,-73.96546354
40.68699945,-73.96189845
40.68030935,-73.9740083
40.75746258,-73.95880139
40.68220107,-74.03105011
40.74094732,-74.0047608
40.70051677,-73.98778104
40.68756677,-74.05541955
40.75491897,-73.97778244
40.71676378,-73.98365278
40.6757776,-73.98081611
40.75781545,-73.96506943
40.75195844,-73.99036063
40.66296391,-73.98154758
40.75809664,-74.04775684
40.68382282,-73.95837318
40.66771636,-74.01559762
40.70457942,-74.03299565
40.71630027,-74.02900633
40.72550585,-74.0266406
40.74498161,-73.99495786
40.7516971,-73.99186381
40.69665717,-74.0169485
40.67180995,-73.98045948
40.67961245,-74.00198549
40.66348602,-73.97938976
40.72034175,-73.97091695
40.71368655,-73.97221127
40.7508843,-74.04041369
40.71008375,-73.97312701
40.74132965,-74.05570326
40.75741699,-73.97850431
40.69688436,-73.97488513
40.73627439,-73.98269239
40.68106096,-74.02365865
40.75917509,-73.96916336
40.73134069,-73.96886102
40.75072926,-74.02614081
40.6734521,-73.97750104
40.67037505,-74.00085164
40.74963885,-73.97414334
40.74760216,-74.03278051
40.69621121,-74.0526023
40.73892644,-74.01776544
40.73647512,-74.05509032
40.73402724,-73.97916359
40.71339703,-74.01037804
40.71232685,-74.02501428
40.73000766,-74.02107944
40.66360474,-73.95843438
40.76136865,-73.97361903
40.66768133,-74.04013414
40.66956754,-74.0189687
40.69690629,-73.99927133
40.69770991,-74.01593551
40.68626325,-73.95907132
40.70929025,-73.97048301
40.71544068,-73.96024778
40.73060479,-74.04895442
40.67360694,-73.98155162
40.70538272,-73.96465607
40.7527717,-73.9638093
40.70245683,-73.95833898
40.71595537,-74.05168456
40.71578213,-74.00285565
40.69011842,-73.9932258
40.70608932,-73.98737529
40.73749248,-73.97927076
40.7143333,-74.02295592
40.73985344,-74.01996114
40.69827612,-74.0174801
40.73073438,-74.03908433
40.75318796,-73.97184466
40.68539255,-73.98904133
40.67939936,-74.04070897
40.71388798,-74.00092923
40.66449047,-74.00469178
40.67075389,-74.05142157
40.70962828,-73.98569931
40.74068144,-73.97399659
40.73180087,-73.98047375
40.71437355,-73.99231191
40.67378454,-73.9853754
40.73157346,-74.00944505
40.69841641,-73.97353724
40.66817717,-74.04596664
40.69008631,-73.97403624
40.71820698,-73.96831337
40.72031099,-73.97475378
40.75371385,-73.99280574
40.74963265,-73.99435055
40.72900242,-74.04931757
40.72628303,-74.00853454
40.66629247,-73.97690895
40.66663422,-73.96391063
40.68905202,-74.05448852
40.68213799,-74.0447377
40.72406274,-74.03343543
40.68189977,-74.03437227
40.72173772,-74.00781279
40.69083239,-73.96409139
40.7356228,-73.96032004
40.73471787,-74.03522805
40.74083817,-74.00347361
40.67017009,-74.01596552
40.69057829,-74.03424487
40.72758059,-73.99224917
40.68114856,-73.95701188
40.66803999,-73.99719716
40.7480581,-73.99728946
40.72990103,-74.03540992
40.7041622,-73.99695078
40.6708919,-74.00943778
40.72313325,-73.96006734
40.68159128,-73.98088332
40.72144062,-74.01741586
40.71491604,-73.9714186
40.73075489,-73.97576279
40.70538166,-74.03217406
40.72018855,-74.01603394
40.71499198,-73.97375038
40.7259695,-74.01553039
40.74109893,-74.05563009
40.71329495,-74.04713278
40.69348018,-74.04963482
40.70631854,-74.0541862
40.72043177,-73.96145009
40.69214101,-73.99841169
40.6887232,-73.96981161
40.71477202,-74.03638213
40.70603897,-73.99416942
40.70576549,-73.95712792
40.67906247,-74.01626443
40.72402374,-74.01567413
40.7069116,-74.02415096
40.73431083,-73.98748379
40.69264418,-73.97479394
40.73064954,-73.97530848
40.70352166,-74.0447545
40.6684533,-73.97904256
40.69223667,-74.03232725
40.74498593,-73.98080973
40.74275616,-74.01932174
40.68252871,-74.01262085
40.72227898,-73.97553838
40.69379416,-73.98419045
40.73762532,-74.03642222
40.67544301,-73.98163109
40.75800867,-73.96593439
40.69054246,-74.05565404
40.69193039,-74.00743284
40.7050096,-74.03747438
40.72573013,-73.98816294
40.67625859,-74.05274961
40.71143517,-73.99963003
40.67085231,-73.98547938
40.7058157,-74.03744443
40.67019381,-74.04825624
40.70348879,-74.01208434
40.75724624,-73.97356397
40.75910517,-74.02347021
40.67625033,-73.97346698
40.70619881,-74.03995472
40.72504916,-74.04770812
40.7203001,-73.97949586
40.75109036,-74.05465455
40.70308057,-74.01846508
40.67615286,-74.04075067
40.73671954,-74.00169023
40.68956403,-73.9668524
40.7362599,-74.00626703
40.73931857,-74.00705076
40.73873061,-74.03837927
40.72180591,-74.04960273
40.71004929,-73.98797686
40.67520953,-73.99586879
40.73431144,-74.00388568
40.75869097,-73.96907191
40.66954083,-73.95707507
40.75985406,-73.96133715
40.69378682,-73.99148184
40.66541706,-73.96406665
40.75873051,-73.97540807
40.66491458,-74.03776176
40.67056684,-74.0292674
40.66335041,-73.97185378
40.69103563,-73.98643458
40.67006149,-73.96144097
40.7198821,-74.0325149
40.70044243,-74.01408877
40.70573032,-73.97161468
40.75862967,-74.05342312
40.73095475,-73.96098031
40.71452116,-74.05100298
40.67640081,-73.99148896
40.67244486,-74.03366112
40.71667323,-74.04403877
40.73946456,-74.03996532
40.7344008,-73.99680162
40.67315775,-74.00736543
40.66498278,-74.00725992
40.67510145,-73.99843288
40.66421428,-73.98155029
40.69228268,-74.04362888
40.71426458,-73.97997509
40.73076361,-74.04663606
40.70168376,-73.99823172
40.72311014,-73.97403413
40.72671199,-73.98738658
40.6841142,-73.97044266
40.68139343,-74.03914042
40.71476551,-74.01869719
40.75967425,-73.9656676
40.70213748,-74.0408146
40.70096652,-74.0526731
40.74464601,-74.0241974
40.67595916,-74.04238105
40.73368836,-74.03241956
40.76198352,-74.02942555
40.75039463,-73.97044907
40.73278252,-73.97407282
40.70471167,-74.03981671
40.70562667,-74.0371227
40.66949148,-74.05123994
40.69376754,-73.98246283
40.73418638,-74.03655455
40.73099414,-74.05057936
40.71916293,-73.98887134
40.71368642,-74.04177707
40.6704614,-73.9702541
40.74535872,-74.03100378
40.759869,-73.98024717
40.68990501,-73.99145585
40.68990433,-73.99541968
40.727412,-74.02771693
40.71079845,-73.99181895
40.70087037,-73.97059184
40.67270803,-73.98934927
40.76125617,-74.04229144
40.73473432,-73.98940837
40.74444619,-73.9696616
40.67760353,-73.98174807
40.67199099,-73.9926452
40.7611391,-74.01585688
40.70412436,-73.97402576
40.70162815,-73.9562167
40.67330427,-73.98457594
40.73833943,-74.00748048
40.69607598,-73.9573904
40.66769548,-74.03306247
40.74692622,-74.03674205
40.72877116,-74.02630018
40.71115212,-73.96339765
40.67959745,-74.02931606
40.73923201,-74.05244484
40.73270757,-73.98543281
40.68050451,-73.96686954
40.73304767,-74.01679643
40.68672894,-73.97386459
40.70585099,-74.03642589
40.7290314,-73.99787545
40.7196786,-74.0242574
40.67314022,-74.0481677
40.70602741,-73.99287021
40.7221821,-74.01919755
40.74616302,-74.02566426
40.75544074,-74.03064567
40.75818953,-74.0197007
40.75586265,-74.01926387
40.74987876,-73.98958526
40.69338671,-73.95935205
40.72567091,-74.0267128
40.72983093,-74.03407676
40.75295701,-73.99399016
40.68549207,-73.98910862
40.67197576,-73.96725459
40.68617999,-73.9987837
40.72303487,-73.99875451
40.75340091,-73.97518999
40.67144322,-74.01925432
40.685704,-73.96043825
40.72016446,-73.98513253
40.71450432,-74.00303768
40.66425952,-74.02090589
40.74711328,-74.03079689
40.69059534,-74.00650355
40.66902624,-74.02836315
40.68568133,-73.97711911
40.7122962,-73.97823679
40.72929898,-73.99262714
40.75980898,-73.9861619
40.706,-74.04958052
40.73469665,-73.98687052
40.72820808,-73.99219925
40.73659624,-74.0261415
40.67223729,-73.97751333
40.74654219,-74.01721166
40.75633929,-73.9729779
40.72709026,-73.96166648
40.74626136,-74.00751106
40.70639918,-74.05311997
40.70261775,-73.9922517
40.72034412,-74.022646
40.73555835,-74.02844755
40.6898917,-74.02140585
40.75785717,-73.97721504
40.71133784,-74.01364357
40.69945103,-73.95952588
40.72269581,-73.97571321
40.74377094,-74.00643691
40.68463211,-74.02473784
40.69654273,-73.99548339
40.72650239,-74.01958792
40.70535971,-73.99162311
40.68836239,-73.99474583
40.73618595,-74.01909246
40.66421599,-73.97700563
40.72287416,-74.03305539
40.68119169,-74.00933807
40.75706617,-74.04917435
40.66811163,-74.00450583
40.68853938,-74.05389423
40.68944401,-73.99634452
40.75985973,-73.98477287
40.75836043,-74.03346553
40.70582719,-74.01589837
40.67241012,-73.99246255
40.74109613,-74.05519244
40.68750594,-74.05027487
40.7583354,-73.98242453
40.71729804,-74.04448206
40.68345849,-73.96807084
40.69019407,-73.97642734
40.73510059,-74.0016123
40.75271266,-74.04868265
40.70667539,-73.9833146
40.68057392,-74.02370296
40.69289848,-74.01423667
40.67498258,-74.01733845
40.73143446,-73.98678456
40.74680109,-73.96869194
40.731486,-73.9790301
40.68282707,-74.03425852
40.76100374,-73.99210598
40.69159878,-73.99126165
40.68004824,-74.01743542
40.72729235,-74.03753518
40.71674502,-74.01192224
40.73235597,-73.9581634
40.74921211,-74.00976677
40.68733109,-74.05368897
40.72385536,-74.00832812
40.75176265,-73.96754257
40.67841402,-73.9749995
40.68358387,-74.05291584
40.74196792,-74.01791663
40.68098017,-73.97842577
40.70506625,-73.9581782
40.67373514,-74.02900131
40.70895465,-74.04507085
40.71062276,-74.01712828
40.73862402,-73.9801894
40.67222141,-74.01896831
40.74752151,-73.99303349
40.66717068,-74.0262883
40.76023436,-74.02397417
40.6706766,-74.05525985
40.7561765,-74.03447187
40.69340067,-73.99180266
40.74613733,-73.96738823
40.75638538,-74.02659792
40.7622554,-74.03523316
40.66582153,-74.00483776
40.67894814,-73.98079012
40.66745529,-74.0483047
40.68438662,-73.95975296
40.71254992,-73.99540203
40.76020119,-73.95951232
40.72147246,-74.03298225
40.73431561,-73.96389531
40.71855205,-74.04191013
40.70683396,-73.99013815
40.70590987,-74.04124268
40.6726901,-73.96444916
40.70041255,-73.99187947
40.67468908,-73.95780273
40.68489061,-73.99118279
40.71233802,-74.04034133
40.68869318,-73.97489611
40.69366202,-74.03971795
40.75566247,-74.03799746
40.74650411,-74.03955628
40.67756312,-73.95620933
40.75499806,-73.97781572
40.69443873,-74.03925931
40.6924048,-73.99874318
40.7497375,-73.99012881
40.73647967,-74.02771459
40.66825309,-74.0203301
40.75073735,-74.01358478
40.74302012,-73.98051601
40.76259451,-73.97835326
40.75736792,-74.00789784
40.68788995,-73.98869116
40.72320457,-73.96814014
40.71250291,-73.99426733
40.66543777,-73.98613462
40.69785962,-73.99665045
40.67136848,-74.02433267
40.67855672,-74.00828772
40.72127218,-74.05520158
40.73416908,-74.05455776
40.72997932,-74.03250478
40.72362758,-74.02271157
40.75122855,-74.01363017
40.73093735,-73.97005058
40.72501457,-73.96984655
40.7149823,-74.03939974
40.74601166,-74.01805463
40.69584874,-74.01424888
40.6768994,-73.99877183
40.67015182,-73.99022228
40.71903063,-74.01509519
40.72995556,-74.00443431
40.74637585,-73.99895465
40.66920072,-73.95915743
40.66525411,-73.96918641
40.754369,-74.01447636
40.70017258,-74.04889219
40.73283414,-73.99989822
40.74880072,-74.0294072
40.70534515,-74.00936642
40.72166639,-74.0221387
40.67541914,-74.03524282
40.71547164,-74.01378274
40.69808486,-74.01060119
40.70933837,-73.98521316
40.67951964,-74.05010224
40.71667361,-74.02532274
40.70778412,-73.99375949
40.7516873,-74.01490027
40.69326055,-73.98172454
40.75972898,-73.9712028
40.75737366,-74.05403577
40.71917561,-74.03645047
40.67383068,-73.98619577
40.7566103,-73.97886646
40.73756996,-73.99822365
40.68807513,-73.99269632
40.68366071,-74.03111973
40.66821009,-73.9900308
40.67553917,-74.02630967
40.74587653,-73.99963081
40.66785276,-73.99154053
40.687025,-74.05558129
40.69565783,-73.956894
40.68139876,-74.006826
40.69964718,-74.02132562
40.72790765,-73.9732256
40.75911055,-74.00466972
40.75502373,-74.03945015
40.72991022,-74.01079104
40.75102442,-74.03362429
40.7285974,-73.99925803
40.72251923,-73.99237353
40.75107875,-74.04356277
40.74608415,-73.99978895
40.67532914,-73.95807461
40.67898126,-74.01738777
40.72200415,-73.96992933
40.68948192,-74.0346701
40.67680847,-73.99131304
40.68231243,-73.98806997
40.66984445,-74.02874127
40.68172873,-73.98288451
40.70120723,-74.00524849
